Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4948919,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
4981738,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4982016,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4982292,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4982451,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5018850,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5028758,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
5038824,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
5048848,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
5081642,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5081930,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5082206,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5082481,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5119057,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5129042,00000101,false,Rx,0,8,00,00,00,00,00,DE,00,00,
5138993,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
5149009,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
5181659,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5181946,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5182222,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5182381,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5219096,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5229106,00000101,false,Rx,0,8,00,00,00,00,00,DE,00,00,
5239169,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
5249189,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
5281613,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5281956,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5282114,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5282391,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5319262,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5329180,00000101,false,Rx,0,8,00,00,00,00,00,DE,00,00,
5339245,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
5349265,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
5381646,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5381930,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5382090,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5382367,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5419316,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5429297,00000101,false,Rx,0,8,00,00,00,00,00,DE,00,00,
5439403,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
5449427,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
5481689,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5481974,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5482133,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5482408,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5519501,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5529416,00000101,false,Rx,0,8,00,00,00,00,00,DE,00,00,
5539477,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
5549498,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
5581647,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5581931,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5582090,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5582366,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5619596,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5629500,00000101,false,Rx,0,8,00,00,00,00,00,DE,00,00,
5639524,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
5649544,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
5681731,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5681891,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5682168,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5682444,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5719621,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5729643,00000101,false,Rx,0,8,00,00,00,00,00,DE,00,00,
5739599,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
5749618,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
5781679,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5781849,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5782123,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5782399,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5819766,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5829656,00000101,false,Rx,0,8,00,00,00,00,00,DE,00,00,
5839734,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
5849761,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
5881576,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5881864,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5882139,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5882298,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
5919855,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
5929750,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
5939815,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
5949975,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
